Bus Stop ID,Name,Service Provider Name,Latitud,Longitud,ROUTE ID,Route_Name
S01,AMPANG,Rapid KL,3.150318,101.760049,AG,Ampang Line
S02,CAHAYA,Rapid KL,3.140575,101.756677,AG,Ampang Line
S03,CEMPAKA,Rapid KL,3.138324,101.752979,AG,Ampang Line
S04,PANDAN INDAH,Rapid KL,3.134581,101.746509,AG,Ampang Line
S05,PANDAN JAYA,Rapid KL,3.130141,101.739122,AG,Ampang Line
S06,MALURI,Rapid KL,3.12329,101.727283,AG,Ampang Line
S07,MIHARJA,Rapid KL,3.120973,101.717922,AG,Ampang Line
S08,CHAN SOW LIN,Rapid KL,3.128105,101.715637,AG,Ampang Line
S09,PUDU,Rapid KL,3.134879,101.711957,AG,Ampang Line
S10,HANG TUAH,Rapid KL,3.140012,101.705984,AG,Ampang Line
S11,PLAZA RAKYAT,Rapid KL,3.144049,101.702105,AG,Ampang Line
S12,MASJID JAMEK,Rapid KL,3.14927,101.696377,AG,Ampang Line
S13,BANDARAYA,Rapid KL,3.155567,101.694485,AG,Ampang Line
S14,SULTAN ISMAIL,Rapid KL,3.161245,101.694109,AG,Ampang Line
S15,PWTC,Rapid KL,3.166333,101.693586,AG,Ampang Line
S16,TITIWANGSA,Rapid KL,3.173497,101.695367,AG,Ampang Line
S17,SENTUL,Rapid KL,3.178484,101.695542,AG,Ampang Line
S18,SENTUL TIMUR,Rapid KL,3.185897,101.695217,AG,Ampang Line
S81,PUTRA HEIGHTS,Rapid KL,2.996016,101.575521,PH,Sri Petaling Line
S79,PUCHONG PRIMA,Rapid KL,2.999808,101.596692,PH,Sri Petaling Line
S78,PUCHONG PERDANA,Rapid KL,3.007913,101.605021,PH,Sri Petaling Line
S77,BANDAR PUTERI,Rapid KL,3.017111,101.612855,PH,Sri Petaling Line
S76,TAMAN PERINDUSTRIAN PUCHONG,Rapid KL,3.022814,101.613514,PH,Sri Petaling Line
S75,PUSAT BANDAR PUCHONG,Rapid KL,3.033194,101.616057,PH,Sri Petaling Line
S74,IOI PUCHONG JAYA,Rapid KL,3.048101,101.62095,PH,Sri Petaling Line
S72,KINRARA BK5,Rapid KL,3.050506,101.644294,PH,Sri Petaling Line
S71,ALAM SUTERA,Rapid KL,3.0547,101.656468,PH,Sri Petaling Line
S70,MUHIBBAH,Rapid KL,3.062229,101.662552,PH,Sri Petaling Line
S69,AWAN BESAR,Rapid KL,3.062131,101.670555,PH,Sri Petaling Line
S68,SRI PETALING,Rapid KL,3.061445,101.687074,PH,Sri Petaling Line
S67,BUKIT JALIL,Rapid KL,3.058196,101.692125,PH,Sri Petaling Line
S65,SUNGAI BESI,Rapid KL,3.063842,101.708062,PH,Sri Petaling Line
S64,BANDAR TASIK SELATAN,Rapid KL,3.076058,101.711107,PH,Sri Petaling Line
S63,BANDAR TUN RAZAK,Rapid KL,3.089576,101.712466,PH,Sri Petaling Line
S62,SALAK SELATAN,Rapid KL,3.102201,101.706179,PH,Sri Petaling Line
S61,CHERAS,Rapid KL,3.112609,101.714178,PH,Sri Petaling Line
S08,CHAN SOW LIN,Rapid KL,3.128105,101.715637,PH,Sri Petaling Line
S09,PUDU,Rapid KL,3.134879,101.711957,PH,Sri Petaling Line
S10,HANG TUAH,Rapid KL,3.140012,101.705984,PH,Sri Petaling Line
S11,PLAZA RAKYAT,Rapid KL,3.144049,101.702105,PH,Sri Petaling Line
S12,MASJID JAMEK,Rapid KL,3.14927,101.696377,PH,Sri Petaling Line
S13,BANDARAYA,Rapid KL,3.155567,101.694485,PH,Sri Petaling Line
S14,SULTAN ISMAIL,Rapid KL,3.161245,101.694109,PH,Sri Petaling Line
S15,PWTC,Rapid KL,3.166333,101.693586,PH,Sri Petaling Line
S16,TITIWANGSA,Rapid KL,3.173497,101.695367,PH,Sri Petaling Line
S17,SENTUL,Rapid KL,3.178484,101.695542,PH,Sri Petaling Line
S18,SENTUL TIMUR,Rapid KL,3.185897,101.695217,PH,Sri Petaling Line
MR1,KL SENTRAL,Rapid KL,3.132852,101.687817,MR,KL Monorail Line
MR2,TUN SAMBANTHAN,Rapid KL,3.13132,101.69085,MR,KL Monorail Line
MR3,MAHARAJALELA,Rapid KL,3.138743,101.699268,MR,KL Monorail Line
MR4,HANG TUAH,Rapid KL,3.140511,101.706029,MR,KL Monorail Line
MR5,IMBI,Rapid KL,3.14283,101.70945,MR,KL Monorail Line
MR6,BUKIT BINTANG ,Rapid KL,3.146022,101.7115,MR,KL Monorail Line
MR7,RAJA CHULAN,Rapid KL,3.150878,101.710432,MR,KL Monorail Line
MR8,BUKIT NANAS,Rapid KL,3.156214,101.704809,MR,KL Monorail Line
MR9,MEDAN TUANKU,Rapid KL,3.15935,101.69888,MR,KL Monorail Line
MR10,CHOW KIT,Rapid KL,3.167358,101.698379,MR,KL Monorail Line
MR11,TITIWANGSA,Rapid KL,3.173192,101.696022,MR,KL Monorail Line
